experiment,plate,truncation,n_timepoints,run_hours,activity_window_h,late_window_start_h,strain,strain_source,well_columns,galactose_percent,n_wells,naive_rfu_per_od,corrected_activity,mu_late
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.0,3,3698.074256720589,-184.32773460319711,0.0020049472715377476
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.3,3,2623.8536421130243,-60.50899786157618,0.003603761628282487
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.6,3,2211.463296861902,-11.776971088201075,0.008058847728711675
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.9,3,1860.5868287737042,16.97664813596663,0.014466974664862955
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.2,3,1547.3204532777736,43.1845820429693,0.027114730649426762
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.5,3,1229.0175461985154,48.63629794826323,0.03660561759100855
AFL-debugging,20260803_AFL-debugging_2nd,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.8,3,1186.7550518264406,78.8887540602177,0.04615372592352077
AFL-debugging,20260804_AFL-debugging_3rd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,0.0,3,112.4217372484681,0.22829343235118368,0.0015470755977324592
AFL-debugging,20260804_AFL-debugging_3rd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,0.3,3,124.51391216276875,-0.4405195066690237,0.004237758448068049
AFL-debugging,20260804_AFL-debugging_3rd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,0.6,3,120.77930131088743,-0.6205884552128147,0.0073426392342635476
AFL-debugging,20260804_AFL-debugging_3rd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,0.9,3,111.20032662137835,1.0994790749080687,0.005327247486293467
AFL-debugging,20260804_AFL-debugging_3rd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,1.2,3,94.91331506641264,1.8245482767305161,0.024885932755080872
AFL-debugging,20260804_AFL-debugging_3rd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,1.5,3,93.18116663074984,6.894651090429552,0.03686272539096867
AFL-debugging,20260804_AFL-debugging_3rd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,1.8,3,146.11655216106328,11.80558794250284,0.047507527246264426
AFL-debugging,20260804_AFL-debugging_3rd,as-run,109,18.124,3.0,13.624,Control,notebook,4-6,0.0,3,309.9330011319992,-1.5564043661562665,0.02629840073582479
