check,expected,actual,status,detail
number claimed in docs/FINDINGS.md:1228 = 0.92 (outputs/late_window_sensitivity.csv[fold]),0.92,0.917889,PASS,outputs/late_window_sensitivity.csv[fold] where construct=NativeYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1228 = 0.74 (outputs/late_window_sensitivity.csv[low]),0.74,0.735794,PASS,outputs/late_window_sensitivity.csv[low] where construct=NativeYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1228 = 1.08 (outputs/late_window_sensitivity.csv[high]),1.08,1.07809,PASS,outputs/late_window_sensitivity.csv[high] where construct=NativeYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1229 = 1.43 (outputs/late_window_sensitivity.csv[naive_fold]),1.43,1.42649,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=NativeYap1; stressor=H2O2; dose_mM=0.2; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1229 = 1.03 (outputs/late_window_sensitivity.csv[fold]),1.03,1.02976,PASS,outputs/late_window_sensitivity.csv[fold] where construct=NativeYap1; stressor=H2O2; dose_mM=0.2; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1229 = 0.80 (outputs/late_window_sensitivity.csv[low]),0.80,0.801073,PASS,outputs/late_window_sensitivity.csv[low] where construct=NativeYap1; stressor=H2O2; dose_mM=0.2; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1229 = 1.27 (outputs/late_window_sensitivity.csv[high]),1.27,1.27084,PASS,outputs/late_window_sensitivity.csv[high] where construct=NativeYap1; stressor=H2O2; dose_mM=0.2; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1230 = 1.28 (outputs/late_window_sensitivity.csv[naive_fold]),1.28,1.28027,PASS,outputs/late_window_sensitivity.csv[naive_fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1230 = 1.01 (outputs/late_window_sensitivity.csv[fold]),1.01,1.01484,PASS,outputs/late_window_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1230 = 0.94 (outputs/late_window_sensitivity.csv[low]),0.94,0.938594,PASS,outputs/late_window_sensitivity.csv[low] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
number claimed in docs/FINDINGS.md:1230 = 1.10 (outputs/late_window_sensitivity.csv[high]),1.10,1.10491,PASS,outputs/late_window_sensitivity.csv[high] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.1; late_fraction=0.75 (tolerance 0.005)
